name,city,income,credit_score,loan_amount,years_employed,points,loan_approved
Teresa Burgess,North Stephen,71467,639,3482,5,60.0,True
Christopher King,New Lorraineview,64179,717,26430,28,60.0,True
Jessica Smith,New Adamland,56772,346,46933,4,25.0,False
Jonathan Roberts,Catherineport,117782,748,25996,25,90.0,True
Amanda Moore,East Julie,123872,602,42552,9,60.0,True
Stephen Sanford,Susantown,71180,444,9076,2,35.0,False
Kyle Medina,West Jasonstad,61285,516,28043,32,35.0,False
Clinton Jensen,Jamesburgh,64814,355,36969,29,35.0,False
Angel Powers,Coreyshire,81876,798,22682,22,80.0,True
Matthew Garcia,East Louismouth,47154,636,41392,19,40.0,False
Brittany Knight,Susanburgh,118039,304,21526,15,55.0,False
Michelle Davidson,Maryberg,114607,639,32454,29,65.0,True
Raymond Tucker,East Debbieland,69321,587,10175,34,60.0,True
Nicholas Sims,North Melissatown,89929,714,39668,13,65.0,True
Kristen Stephens,Valdezberg,71441,674,26722,14,65.0,True
Leah Vincent,South Walter,128548,392,27003,23,55.0,False
Mary Charles,Port Willie,39508,756,11434,11,65.0,True
Krystal Brennan,Lake Jessica,31220,667,3648,14,50.0,False
Crystal Baker,North Elizabeth,90068,830,24674,24,85.0,True
Jesse Williams,Dakotahaven,111416,580,49621,16,60.0,True
Laura Bennett,Diazland,103792,829,17487,24,95.0,True
Courtney Sullivan,Tommyfort,43104,306,33888,8,20.0,False
David Robertson,Jasonburgh,39602,461,24738,38,25.0,False
Bailey Hall,Jenniferfort,100468,790,32393,13,85.0,True
Maria Jenkins,North David,57938,464,9829,40,45.0,False
Stephanie Thomas,West Sandra,96307,829,27571,38,85.0,True
Marcia Johns,Staceyborough,64760,759,40749,30,70.0,True
Carolyn Greer,Port Brandi,47361,486,41842,32,25.0,False
Nathaniel Cooper,Carlsonland,75745,535,25786,24,45.0,False
Alan Mills,Serranoville,145456,481,32186,39,55.0,False
Sherry Schmidt,North Timothyberg,39016,301,45470,27,25.0,False
Jacqueline Williams,Perezfort,145247,690,23971,37,80.0,True
Susan Hood,South Dennisfort,62018,538,6493,18,45.0,False
Kimberly Scott,Lake Juliatown,78434,835,8722,33,90.0,True
Matthew Watts,Robertville,67353,458,28923,37,35.0,False
Scott Henderson,Cherylfurt,50676,508,28081,35,35.0,False
Karen Wood,Kingport,87433,652,47235,25,55.0,False
Sarah Hopkins,South Krista,139280,465,7571,13,60.0,True
Rachel Owen,East Paultown,101200,393,10524,30,55.0,False
Bobby Johnson,Ariasfurt,122214,833,19774,38,95.0,True
Raymond Thompson,Gonzalesborough,69651,830,19743,12,80.0,True
Kyle Black,New Gavin,110173,336,24575,15,55.0,False
Vanessa Miller,Kimberlystad,135788,704,27571,37,80.0,True
Adrian Padilla,New Justinside,115717,656,23772,17,70.0,True
Victor Gibson,Andrewsview,99329,479,27681,32,45.0,False
Benjamin Phillips,Port Williamview,31025,850,38676,16,65.0,True
Tracy Hart,Port Matthew,117538,769,45668,29,85.0,True
Shannon Olson,Carlosbury,137099,535,21691,26,55.0,False
Kelli Smith,Johnland,102692,708,45151,21,70.0,True
Timothy Woods,Jefferyshire,69240,575,12978,12,45.0,False
Mr. Nicolas Salas II,Port John,116951,664,11223,6,70.0,True
Blake Sosa,Austinside,43577,343,32607,23,25.0,False
Katherine Galloway,Travishaven,145097,586,27075,14,70.0,True
Bethany Fox,Mendozaside,47601,333,33930,22,25.0,False
Michael Thompson,Lake Aprilmouth,64664,308,1774,13,50.0,False
Brian Ward,Jacobview,45129,542,18655,30,25.0,False
Grace White,Clarkstad,146616,673,27253,17,80.0,True
Kenneth Krause,Port Cory,44029,576,16453,35,30.0,False
James Thomas,South Linda,127310,480,28624,31,55.0,False
Steven Mccoy,Kristenport,102512,556,37840,36,50.0,False
Brett Martin,Port Jonathan,50374,398,30481,21,35.0,False
Isaac Grant,Mauricechester,65697,424,24009,38,40.0,False
Kenneth Banks,Port Justin,66930,632,45118,32,50.0,False
Dr. Steve James,Stevenberg,109276,471,42981,21,50.0,False
Logan Sullivan,North Fernandobury,57607,621,21766,18,55.0,False
Lisa Foster,Normanstad,124058,833,30510,26,95.0,True
Scott Martinez,Lake Johnathan,74942,381,14800,10,45.0,False
Brendan Zuniga,Kelleytown,56685,706,35339,5,55.0,False
Luke Miller,Parkerbury,120111,590,30042,40,65.0,True
Joseph Jackson,Lake Michaelmouth,113130,787,31617,34,85.0,True
Kimberly Taylor,New Carla,141792,745,35305,40,90.0,True
Emily Reed,Port Christopher,64600,615,24971,26,55.0,False
Eric Smith,West Justin,96244,847,1545,31,95.0,True
Karen Smith,Yatesbury,94032,307,36927,23,45.0,False
Stephen Kim,East Jennifer,62914,699,25796,14,60.0,True
Jay Allen,Justinside,148664,575,28060,12,55.0,False
Catherine Roberts,Williamsonview,149034,803,13306,20,100.0,True
Anthony Nichols,North Julian,140900,428,47871,28,50.0,False
Crystal Hernandez,Robinsonchester,36658,619,33662,23,40.0,False
Rick Rivera,North Joseph,42097,701,5678,34,60.0,True
Corey Skinner,Claytonville,113136,554,26218,28,55.0,False
Zachary Gonzalez,New Elizabethborough,85518,784,26501,19,80.0,True
Caitlin Chandler,West Timothyport,138704,503,24620,3,45.0,False
Claudia Rodriguez,Nguyenburgh,66265,582,39318,7,45.0,False
David Novak,Barkerberg,35778,680,6864,15,60.0,True
Brandon Montgomery,North Michaelberg,30464,849,8038,8,65.0,True
Eugene Grant DDS,Lindamouth,73719,497,2399,24,50.0,False
Chad Roach,Mannside,131072,601,36568,31,65.0,True
Cody Bailey,Hillside,47146,464,5513,33,35.0,False
Edward Baker,Shawnhaven,113507,688,49080,11,70.0,True
Lisa Diaz,West Jennifer,64335,696,13443,33,70.0,True
Pamela Moore,Marcusmouth,51178,413,7308,33,45.0,False
Amanda Pace,Port Anthony,127154,409,32809,12,50.0,False
Kenneth Huff,Foxshire,87912,562,4216,23,55.0,False
Mitchell Smith,Lake Travis,102309,381,31674,40,50.0,False
Justin Hurley,Shortton,122493,572,35669,2,40.0,False
Sandra Miller,New Colton,86057,536,35842,24,40.0,False
Joseph Wright,New Kara,103519,725,49896,6,65.0,True
Laura Craig,Andradeburgh,31267,484,37042,25,25.0,False
Mary Ferguson,Mahoneymouth,44663,632,25361,26,40.0,False
Jessica Swanson,New Amy,39862,684,37060,16,50.0,False
Jesse Moyer,Lake Austinport,145750,316,34922,8,50.0,False
Elizabeth Evans MD,Andrewview,120573,823,37459,36,90.0,True
Brittney Johnson,Ericview,148479,675,39152,15,75.0,True
Robert Davis,Carrollborough,49536,379,48420,20,25.0,False
Carrie Petersen,New Dawnton,101511,690,6143,3,75.0,True
Felicia Hobbs,Butlerville,34722,532,49999,38,25.0,False
Madison Chen,West Alicemouth,139392,453,22419,32,55.0,False
Brittany Nunez,Maddoxshire,78393,816,6903,14,95.0,True
Richard Hernandez,Christophershire,106350,350,36923,25,50.0,False
James Hamilton,Port Dennis,102420,502,32972,25,50.0,False
Christina Gilbert,East Charles,49410,740,22195,36,60.0,True
Michael Henderson,Jamesstad,86333,324,20976,10,50.0,False
Lisa Branch MD,South Brady,46704,539,14086,23,30.0,False
Nicholas Miller,East Stacyberg,35482,594,1900,21,55.0,False
Ashley Cole,West Jasonside,70404,516,14356,34,45.0,False
Deanna Webb,Lake Holly,77795,318,25681,37,45.0,False
Kelsey Scott,West Jamesview,147831,354,31471,0,40.0,False
Matthew Alvarado,Michelletown,134349,599,43559,24,65.0,True
James Bray,West Toddside,142814,390,13217,12,60.0,True
Judith House,North Johnhaven,35229,612,22860,31,40.0,False
Christopher Reed,Michaelport,147823,541,33850,17,55.0,False
Lori Johns,New Stacybury,76898,455,23399,25,45.0,False
Anita Reyes,South John,57535,456,28948,19,35.0,False
Erin Daniels,Lake Dillon,119399,507,10051,19,60.0,True
Stephanie Browning,Forbesberg,62706,461,21807,4,30.0,False
Tiffany Wilson,Maryberg,117416,330,21885,26,55.0,False
Elizabeth Reese,Edwinborough,43473,409,9620,11,35.0,False
William Jensen,New Jesse,76357,326,24544,5,40.0,False
Karen Shaw,Josephstad,132251,488,26392,31,55.0,False
Christopher Perez,Durantown,103385,576,28069,14,50.0,False
Virginia Todd,East Saramouth,145885,801,46079,20,90.0,True
Stacy Patterson,New Jillfurt,144650,620,26831,39,70.0,True
Laura Herrera,New Danielmouth,83264,343,17103,33,50.0,False
Victoria Williams,Blackton,111351,494,20082,28,55.0,False
Eric Carey,Jacksonport,128235,355,46216,33,50.0,False
Julie Lucas,Lake Vincentburgh,50257,438,26760,26,35.0,False
Alexander Chavez,South Christopher,61029,631,46332,10,50.0,False
Becky Wilson,Waltersland,143325,836,47352,24,90.0,True
Vanessa Salazar,South Andrea,51299,344,12199,21,45.0,False
Mary Hernandez,East Kayla,134842,352,28497,19,55.0,False
Randy Griffin,North Rachel,136269,507,1231,39,60.0,True
Alexandria Jimenez,Stephenstown,53206,805,16589,13,80.0,True
Karen Ortiz,New Carolbury,145528,584,41616,40,65.0,True
Samantha Williams,North Denise,84040,337,10527,2,40.0,False
Sara Evans,North Danielburgh,33248,465,45046,18,25.0,False
Melissa Larson,South Kara,53509,668,3348,5,60.0,True
Erica Merritt,Port Ronaldside,126542,366,20191,30,55.0,False
Michael Hill,Warrenborough,73540,359,8163,36,45.0,False
Lori Benitez,Ramseyport,132548,737,40901,20,75.0,True
Kenneth Hanson,New Anna,83964,832,48787,40,80.0,True
Dr. Stephen Hall IV,North David,135150,776,41990,7,80.0,True
Christine Gilbert,Gutierrezmouth,117806,658,37727,40,65.0,True
Martin Vaughn,Kristyport,143254,607,34206,35,70.0,True
Aaron Jennings,Randyshire,126345,329,12510,12,60.0,True
George Chambers,Roblesberg,136266,793,11183,40,95.0,True
Sean Huang,Bowerschester,62527,357,35149,19,35.0,False
Megan Peters,East Barbaramouth,64970,662,5339,9,60.0,True
Andre Terrell,New Catherine,50866,491,40006,7,30.0,False
Nicole Thornton,Jenniferview,133202,723,6688,31,85.0,True
Jacqueline Gallegos,Javierport,121917,479,8355,23,60.0,True
Paula Gentry,Hunterfort,44168,812,11097,12,70.0,True
John Russo,Kimberlyberg,80140,400,34826,8,35.0,False
Andrew Hughes,North Larryton,144316,389,22842,29,55.0,False
Ashley Miranda,Andrewport,35075,514,22029,12,25.0,False
Donald Flores,Lambertview,142537,452,11321,17,60.0,True
Tyler Castro,East Amyside,91694,626,18763,9,60.0,True
Regina Andrews,North Larry,59154,646,36427,28,50.0,False
Allen Berger,North Patrickland,56158,736,26684,11,60.0,True
Stephanie Soto,Jensenport,137031,640,13985,34,70.0,True
Thomas Duran,North Lisa,90332,779,7374,29,90.0,True
Matthew Miranda,Hallbury,75830,447,41431,16,40.0,False
Jenna Lyons,Kristinamouth,70001,764,32949,1,55.0,False
Brian Mendoza,West Katrina,137549,430,34288,6,50.0,False
Miguel Rodriguez,Port Kevinmouth,134247,710,39701,26,75.0,True
David Moore,Reyesmouth,144206,513,46485,37,50.0,False
William Bradley,Amybury,59831,477,44424,4,25.0,False
Michelle Copeland,New Caitlinmouth,59219,399,30177,11,35.0,False
Jared George,Murphyton,33101,392,15261,8,20.0,False
Stephanie Fields,Port Dwayneberg,116511,763,35816,18,85.0,True
Kenneth Gonzalez,Kevinport,55313,745,48041,22,70.0,True
Lauren Carr DDS,Port Kelly,82227,678,36971,3,55.0,False
Justin Irwin,Port Juliantown,73025,540,29292,37,35.0,False
Evan Reyes,Grahamborough,66517,477,32121,8,30.0,False
James Middleton,Mooreberg,143292,437,1760,4,50.0,False
Brianna Dyer,Proctorberg,39099,386,9992,26,30.0,False
Stephanie Dominguez,Hansonmouth,131361,821,28795,35,95.0,True
Janice Perez,Jacobsshire,66585,810,48901,15,75.0,True
Debra House,Arthurton,76025,794,47195,23,75.0,True
John Vaughn,Lake Jessica,114080,586,31470,33,65.0,True
Steve Davis,Mccoyland,96768,619,41176,3,45.0,False
Kimberly Smith,Huntfort,82386,639,28591,22,60.0,True
Thomas Curry,Bryanfort,119065,473,38542,3,40.0,False
Dorothy Mclaughlin,West Toddberg,140580,817,6037,17,100.0,True
Luis Hill,Alexisville,100282,478,39782,9,45.0,False
Jacqueline Thompson,South Henry,73404,840,3168,21,90.0,True
Dr. Linda Underwood,Mullinschester,33617,692,16594,28,50.0,False
Carol Lane,Brianview,45118,418,4442,10,40.0,False
John Alvarez,South Frances,144955,699,32102,16,80.0,True
Seth Smith,Reyesmouth,64237,842,45752,2,65.0,True
Joseph Gomez,Bishopview,53405,643,18716,17,55.0,False
Dawn Silva,Mejiabury,106099,499,35075,21,50.0,False
Wendy Edwards,Lake Alanland,64795,312,27951,6,30.0,False
Melissa Bell,Johnathanton,35014,324,41592,5,20.0,False
Kristopher Shannon,New Danielle,44208,422,6661,38,35.0,False
Matthew Yoder,North Heather,108193,559,20304,29,55.0,False
Angela Chavez,Kaylamouth,86959,563,11614,4,40.0,False
Antonio Price,West Stephanieview,75309,482,29873,4,35.0,False
Timothy Bishop Jr.,Rodriguezside,125491,741,15312,39,90.0,True
Susan Baldwin,North Charlesshire,133078,556,30221,1,40.0,False
Brittany Bowman,Lake Peterberg,71114,637,26646,36,55.0,False
Michael Wise,Grahamland,87199,531,1216,24,55.0,False
Sabrina Olson,Mathewport,109457,710,4617,40,85.0,True
Maria Diaz DVM,Christophermouth,97033,596,43453,12,55.0,False
Andrew Cruz,West Heather,45157,409,42328,22,25.0,False
Dr. Jeffrey Lopez,East Anthonyshire,80488,544,33062,24,40.0,False
Joshua Parker,Levytown,147899,337,23235,3,45.0,False
Nathan Sullivan,Port Desiree,105574,835,31039,34,90.0,True
Kerry Buckley,Lake Donaldtown,54914,782,41525,2,60.0,True
Matthew Smith,West Loriville,63386,767,41057,10,70.0,True
Amy Roth,South Brookebury,35817,364,14280,27,30.0,False
Russell Rojas,Nguyenshire,122901,440,22075,13,55.0,False
Leslie Rogers,West Donaldchester,87154,472,46632,23,40.0,False
Jessica Frost,East Craigfurt,30221,461,2024,31,40.0,False
Adam Howe,Robertfort,98146,429,14510,9,45.0,False
Kelly Jenkins,New Heather,135710,484,48002,31,50.0,False
Anita Serrano,Michaeltown,100575,541,13576,7,50.0,False
Dr. Lisa Huffman,South Kaylee,120027,513,19115,3,45.0,False
Robert Jennings,Jimenezburgh,124297,344,4540,23,60.0,True
Jeffrey Cook,Williamston,127248,850,12526,10,100.0,True
Karina Wilson,Lake Sean,126605,633,28463,12,70.0,True
Stephanie Hall,West Jeremybury,117900,722,14104,24,80.0,True
Angel Richards,South Dustinmouth,55825,482,26384,23,35.0,False
Nathan Chen,Jamesberg,77739,332,46364,36,40.0,False
Chad York,Barnesmouth,86531,525,20343,38,50.0,False
Robert Cisneros,New Tara,39171,535,6667,26,35.0,False
Katherine Forbes,Hoodview,117062,314,48842,27,45.0,False
Danielle Murphy,New Sophia,73279,305,28379,2,30.0,False
John Mack,South Amandafort,111678,400,30651,31,50.0,False
Justin Smith,Dodsonberg,71145,667,20384,15,55.0,False
Ann Castillo,Evanmouth,116951,324,30808,29,50.0,False
Shelly Sullivan,Courtneytown,141151,372,26223,21,55.0,False
Elizabeth Mullins,Port Gail,46334,643,49218,3,30.0,False
Susan Cox,North Patrickmouth,124339,341,24958,23,55.0,False
Justin Jones,East Tina,147970,544,36365,7,50.0,False
Nancy Goodwin,Port Julie,69363,530,22001,22,40.0,False
Kathy Henderson,North Nathanmouth,96469,797,33863,33,80.0,True
Julie Patel,Shannonstad,70538,367,13343,29,45.0,False
James White,North Fredville,117410,451,33527,9,45.0,False
Kelly Burton,Robertside,83528,435,32057,22,45.0,False
Oscar Smith,North Andrew,72753,537,35053,21,35.0,False
Grant Lucas,Toddhaven,82743,755,31015,19,80.0,True
Stephanie Parker,Jeremystad,121384,595,4101,9,70.0,True
Jesus Jackson,Lake Amanda,68752,486,12492,9,40.0,False
Bruce Chaney,South Jorge,102667,488,14445,35,55.0,False
Mary Spence,West Shane,46683,466,35972,19,25.0,False
Alexander Velazquez,South Sarah,55144,459,1281,34,50.0,False
Erin Thornton,Kempshire,85108,450,38043,28,40.0,False
Michael Wilson,South Christinabury,117153,756,24422,5,85.0,True
Lee Lee,Port Shari,79695,584,13826,1,50.0,False
Samuel Rhodes,New Prestonfort,118777,625,40529,38,65.0,True
Amy Estrada,Hernandezchester,128059,678,26304,23,80.0,True
Gregory Parker,Sawyerland,148332,520,48700,28,50.0,False
Jennifer Ramos,Port Jessica,52810,734,48749,26,60.0,True
Kevin Miller,West Thomas,110676,837,22981,4,85.0,True
Leslie Bennett,South Danielleview,104593,724,12461,35,80.0,True
Keith Melendez,East Marisa,69446,596,37298,31,50.0,False
Ronald Davenport,Troymouth,83225,529,2758,0,40.0,False
Eric Davidson,Martinezport,101819,727,12755,31,80.0,True
Maria Johnson,Trevorland,139278,670,39080,30,75.0,True
Sheena Burton,Mccannville,30053,682,34588,36,50.0,False
David Perkins,West Steven,69829,438,24421,10,40.0,False
Isaac Fields,Brandonport,67606,842,42873,4,65.0,True
Pamela White,New Karenside,57549,630,21723,19,55.0,False
Michael Cox,Madelinetown,86346,440,34958,18,40.0,False
John Peterson,North Jeffery,132990,815,15490,12,95.0,True
Kristin Norris,South Stevenland,106019,419,9600,1,45.0,False
Eric Cox,Prestonhaven,109516,650,12285,19,70.0,True
Robert Walker,Lake Jeremy,115813,428,14752,8,50.0,False
Mrs. Pamela Rodriguez,Port Toddchester,72237,343,13868,6,40.0,False
Matthew Watkins,Wilsonview,90946,344,5341,19,55.0,False
Nicole Patton,New Rachel,87905,489,44948,22,40.0,False
Charles Francis,Stacystad,87954,660,11522,32,65.0,True
Lisa Wagner,North Loritown,118555,841,15221,12,95.0,True
Carolyn Webster,Lake Coreyborough,58010,816,47383,30,75.0,True
Kevin Gonzales,East Maryfurt,97000,734,15042,32,75.0,True
Brian Rollins,South Danielberg,92021,807,24674,18,85.0,True
Amanda Murphy,South Justinport,134036,754,15802,35,90.0,True
William Patterson,Port Leahstad,148119,483,1837,31,60.0,True
Jennifer Mills,North Douglasfurt,134336,404,49590,10,50.0,False
William Morgan,Martinezchester,126463,811,19252,37,95.0,True
Nicole Owen,Kellyfurt,52241,796,34516,17,70.0,True
Jesse Martinez,Crawfordberg,116356,330,7527,3,50.0,False
Kathleen Johnson,South Cassandra,41114,634,11009,19,45.0,False
Anne Jones,Sparksborough,67196,600,44390,31,50.0,False
Dennis Cooper PhD,Port Anthonychester,97561,421,26141,28,45.0,False
James Stevens,East Angelaport,117012,468,33209,27,50.0,False
Mike Freeman,New Emilyside,112960,781,32189,35,85.0,True
Katie Myers,Garzafurt,111167,661,19640,20,70.0,True
Kevin Anderson,Michaelshire,73933,327,41970,21,35.0,False
Jeffrey Braun,Bellbury,42240,553,16376,19,30.0,False
Susan Jones,Dannyburgh,137272,320,36285,20,50.0,False
Matthew Henderson,Adamsfort,128453,322,21743,24,55.0,False
Erica Davis,Garciaborough,60784,644,33553,32,50.0,False
Mary Jackson,Michaelchester,118184,506,33568,40,50.0,False
Rachel Pittman,West Joseph,70687,604,38586,25,50.0,False
Lori Rubio,New Matthewland,59444,843,32147,27,75.0,True
Robert Pearson,Williamport,135717,743,44480,34,85.0,True
Jason King,Powersside,56100,484,2219,40,50.0,False
Shari Ray,Lake Suzanne,49313,778,18559,40,65.0,True
Lisa Hammond,Michaelton,33201,834,14149,23,65.0,True
David Francis,Meganchester,36057,626,5222,40,50.0,False
Jason Colon,West Gloria,62092,541,27598,15,35.0,False
Corey Sanchez,Stevenside,92277,746,28657,2,70.0,True
Dominic Johnson,Donnaburgh,110120,343,48348,31,45.0,False
Amy Mosley,Carolynland,141376,716,24818,5,75.0,True
Ryan Cameron,North Ashley,130727,812,8906,33,100.0,True
Lauren Hampton,Tylerland,39545,543,40309,7,20.0,False
Emily Collier,Shafferbury,89692,733,15287,9,70.0,True
Daniel Hill,Kingshire,84321,357,33136,34,45.0,False
Travis Stewart,Wellsbury,146147,584,10496,23,75.0,True
Jacob Parker,Port Joditon,112544,545,17579,35,55.0,False
Mark Haynes,New Michellemouth,105454,697,1515,25,85.0,True
Tabitha Turner,West Jason,55485,464,29760,40,35.0,False
Robert Newman,West Michellefort,124155,782,49296,26,85.0,True
Faith Henderson,Port Ethanview,121272,818,5349,22,100.0,True
Nicholas Kelley,Shawntown,80328,353,43033,11,40.0,False
Rachel Taylor,Gonzalezport,94799,621,38736,5,50.0,False
David Reeves,Port Brooke,82383,720,21932,28,70.0,True
Nicholas Green,Laurenborough,61979,386,28164,23,35.0,False
Shawn Duffy,North Stacy,49342,534,6831,29,35.0,False
Michael Jackson,Williamsonview,115990,452,6836,23,60.0,True
Keith Smith,Ayalamouth,120128,806,8766,14,100.0,True
Cheryl Atkins,Keithfort,30726,691,9532,27,55.0,False
Lindsay Carney,Jessicaborough,147002,728,12820,26,85.0,True
Alyssa Cherry,New Shannon,128430,554,25224,37,55.0,False
Judith Smith,Port Marcus,142779,707,46013,13,75.0,True
Michelle Fitzgerald,Charlesside,130931,360,4415,21,60.0,True
Kaitlin Gomez,North Jonfurt,146059,609,26866,23,70.0,True
Steven Williams,West Geoffrey,43970,804,23228,29,65.0,True
Evan Moreno,West Darryl,132029,345,9380,31,60.0,True
Sandy Adkins,Campbellview,85724,570,34880,20,40.0,False
Christopher Doyle,Gallagherberg,58683,750,4487,12,85.0,True
Michael Graham,Williamsstad,53053,796,30999,31,70.0,True
Nathan Hernandez,Claytonport,135396,484,12029,32,60.0,True
Kristine Alvarado,New Whitney,121214,304,35472,36,50.0,False
Thomas Sanchez,Rhodesmouth,97889,326,19630,7,45.0,False
Kevin Bean,Ericland,90889,771,47380,30,75.0,True
Tyler Wheeler,West Taramouth,36582,632,48942,36,40.0,False
Scott Solis,Marcuston,103060,372,36858,38,50.0,False
James Thompson,Davisborough,62662,466,26460,25,35.0,False
Paul Valdez,West Travischester,141193,617,45889,38,65.0,True
Max Collier,South Sean,45906,697,32223,17,50.0,False
Jenny Avila,Christinachester,89829,736,7091,2,70.0,True
Valerie Rhodes,South Alison,47477,837,6503,18,75.0,True
Bob Solis,Edgarberg,135043,607,17295,33,70.0,True
Keith Arnold,New Danielchester,90901,722,7192,29,80.0,True
Laura King,Brendahaven,117500,316,8466,29,60.0,True
Clarence Long,South Nancyport,99616,621,39483,29,60.0,True
Joanna Morton,Tammyburgh,103259,516,13129,5,50.0,False
Lindsey Savage,South Amandatown,108047,704,8646,0,70.0,True
John Holt,Turnerstad,71588,704,20834,5,60.0,True
Adrian Rodriguez,Lake Taratown,128992,514,32530,9,45.0,False
Jessica Garrett,North Kevin,146840,774,10710,30,95.0,True
Bruce Barrera,Maynardfort,88008,320,30459,37,45.0,False
Edward Gallegos,Williamstown,110301,405,42314,27,50.0,False
Sarah Mclaughlin,Benjaminfurt,136824,797,34643,37,85.0,True
Taylor Stein,Hallton,124276,840,2246,27,100.0,True
Kristen Adams,Smallville,146918,806,41809,22,90.0,True
Jeffrey Martin,South Maurice,96162,537,34268,14,45.0,False
Melinda Dorsey,Andersonport,85933,699,28319,23,70.0,True
Rebecca Richard,West Hannah,138864,388,44716,30,50.0,False
Curtis Obrien,Port Robertfort,148863,610,16382,13,70.0,True
Yvonne Howard,Michaelburgh,101810,478,33995,2,40.0,False
Gail Wilson,North Anna,88446,798,17896,21,85.0,True
Patricia Carrillo,Paulahaven,147598,406,47294,3,40.0,False
Jessica Bryant,North Kimberlyville,50861,342,34246,6,30.0,False
Bruce Harris,Ericport,127472,752,34154,31,85.0,True
Annette Holland,Loriville,142917,506,29777,26,55.0,False
Adriana Davenport,Petersonhaven,92216,475,6585,17,55.0,False
Paul Ward,East Karen,88991,842,28637,14,85.0,True
Jeffrey Hardin,Cranehaven,63972,670,2950,28,75.0,True
Adam Drake,North Matthewfurt,128536,468,29447,3,45.0,False
Andrew Nielsen,New Brian,62406,832,20380,26,80.0,True
Michael Spencer,Jennifermouth,140082,652,1517,17,75.0,True
Lisa Thomas,Griffinborough,113579,752,46709,22,80.0,True
Rachael Sullivan,West Christopher,66347,850,22921,24,80.0,True
Natalie Martinez,Jasonhaven,130376,619,35166,21,65.0,True
Caitlin Johnson,Johnport,131931,732,34113,7,70.0,True
Sarah Green,Davidville,98327,759,20527,36,85.0,True
Jody Bird,West Kevin,93517,443,47815,24,40.0,False
Samantha Ward,East Jenniferchester,112149,383,7045,3,50.0,False
Carlos Lewis,West Ericafurt,61358,831,26872,16,75.0,True
Mallory Barajas,Dennischester,65992,466,10459,32,45.0,False
Michael Anderson,Lake Jasonfort,87654,333,49922,10,40.0,False
Jaclyn Crane,Rodriguezstad,40155,596,3639,33,55.0,False
Jacob Ritter,Kellytown,123525,446,10315,37,60.0,True
Timothy Torres,Jasonfort,67450,302,9016,35,45.0,False
Seth Butler,Arielmouth,60735,686,32144,38,60.0,True
Charles Fields,Contrerasberg,65614,633,6853,39,60.0,True
Jennifer Hall,Morganton,74020,753,49228,17,70.0,True
Sharon Mann,Annville,71904,387,13610,39,45.0,False
Nina Bernard,Port Thomas,147050,319,8882,34,60.0,True
Albert Buchanan,Port Janice,100798,754,6547,34,95.0,True
Jennifer Williams,West Samuelchester,40561,324,35596,20,25.0,False
Brandon Petty,West Douglas,48136,561,6873,9,30.0,False
Jason Jackson,Howardton,49769,605,26555,6,35.0,False
Jason Nguyen,Davidville,60311,353,14274,15,45.0,False
Laurie Vasquez,Averyview,80205,362,21862,29,45.0,False
Ana Johnson,North Joseph,120957,403,17142,35,55.0,False
Beth Carroll,Millerhaven,50028,508,10330,23,45.0,False
Carol Sanchez,Aliside,122591,762,3738,0,80.0,True
Tonya Oliver,North Brian,58043,793,18911,38,75.0,True
Michael Kidd,New Mary,38418,588,3980,10,50.0,False
Kristine Turner,Haleberg,84377,586,29309,13,60.0,True
Tina Flores,Cynthiamouth,83424,579,17117,20,50.0,False
Joe Greene,Lake Dennistown,73369,787,1280,0,70.0,True
Jennifer Woodard,Farmerside,101121,383,43539,4,35.0,False
Stephanie Cabrera,Chambersstad,91069,685,40407,22,65.0,True
Ryan Cain,North Stevenborough,84496,755,1613,14,90.0,True
Olivia Becker,Jamesport,38161,526,16352,31,25.0,False
Amanda Vasquez,North James,57110,705,8270,17,70.0,True
Kathleen Arnold,North Brianna,139168,366,9351,16,60.0,True
Savannah Ibarra,Jamestown,85069,845,41269,16,80.0,True
Sonya Smith,Davidsonton,81049,630,29347,26,60.0,True
Michael Owens,Zacharyton,148598,529,4077,17,60.0,True
Kim Stewart,Leeland,130898,325,49329,14,50.0,False
Jessica Jones,East Frank,106556,618,5118,40,75.0,True
Alyssa Reynolds,New Lauramouth,121163,556,17197,6,50.0,False
Tyler Wall,Aprilbury,32560,374,40319,39,25.0,False
Brendan Griffin,North Territon,142293,686,21531,4,70.0,True
Amy Lang,West Cherylchester,145429,367,7673,3,50.0,False
Elizabeth James,New Karenbury,130348,310,30714,24,55.0,False
Jeffrey Oliver,West Debratown,105456,764,34896,21,85.0,True
Ashley Smith,New Kristineborough,79857,429,42770,32,40.0,False
Jason Hardy,Lopezberg,92518,345,4964,8,50.0,False
Jeffrey Moyer,Larryside,30772,449,10660,30,30.0,False
Grant Wood,New Brendaberg,76105,358,16557,32,50.0,False
Kristin Brown,Jamesborough,69139,506,5482,21,50.0,False
Michael Christian,Christinachester,128759,636,11635,6,70.0,True
Richard Williams,North Danielle,81116,535,31574,39,45.0,False
John Tate,Lindsayfurt,141863,510,27234,11,55.0,False
Adriana Smith,Anthonyville,146869,445,20043,28,55.0,False
Kevin Cannon,North Jamesport,139540,478,15348,16,55.0,False
Gina Spencer,East Andrew,84921,568,7631,1,40.0,False
Breanna Pena,West Sharonport,100545,767,16738,23,90.0,True
Mary Pugh,Johnsland,127978,421,10465,8,55.0,False
Cheryl Gray,Louischester,126289,550,4027,39,60.0,True
